<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.03.01	00:00:00	1.12177	1.12177	1.12114	1.12154	59	0	28
2022.03.01	00:10:00	1.12145	1.12177	1.12145	1.12167	108	0	33
2022.03.01	00:20:00	1.12168	1.12183	1.12154	1.12183	60	0	38
2022.03.01	00:30:00	1.12179	1.12193	1.12174	1.12184	131	0	20
2022.03.01	00:40:00	1.12184	1.12188	1.12175	1.12184	97	0	17
2022.03.01	00:50:00	1.12184	1.12194	1.12175	1.12190	110	0	17
2022.03.01	01:00:00	1.12190	1.12190	1.12142	1.12170	166	0	7
2022.03.01	01:10:00	1.12170	1.12170	1.12146	1.12153	147	0	11
2022.03.01	01:20:00	1.12153	1.12179	1.12153	1.12177	104	0	7
2022.03.01	01:30:00	1.12177	1.12187	1.12175	1.12180	113	0	10
2022.03.01	01:40:00	1.12180	1.12181	1.12170	1.12171	48	0	7
2022.03.01	01:50:00	1.12171	1.12172	1.12137	1.12137	74	0	10
2022.03.01	02:00:00	1.12137	1.12147	1.12069	1.12100	343	0	0
2022.03.01	02:10:00	1.12103	1.12127	1.12094	1.12125	183	0	0
2022.03.01	02:20:00	1.12125	1.12126	1.12102	1.12114	97	0	0
2022.03.01	02:30:00	1.12114	1.12117	1.12075	1.12088	142	0	0
2022.03.01	02:40:00	1.12089	1.12107	1.12050	1.12053	244	0	0
2022.03.01	02:50:00	1.12054	1.12143	1.12053	1.12054	552	0	0
2022.03.01	03:00:00	1.12056	1.12079	1.12026	1.12045	308	0	0
2022.03.01	03:10:00	1.12047	1.12051	1.12035	1.12048	137	0	0
2022.03.01	03:20:00	1.12049	1.12083	1.12038	1.12083	248	0	0
2022.03.01	03:30:00	1.12081	1.12102	1.12068	1.12073	584	0	0
2022.03.01	03:40:00	1.12073	1.12078	1.12023	1.12038	236	0	0
2022.03.01	03:50:00	1.12038	1.12038	1.12015	1.12017	242	0	0
2022.03.01	04:00:00	1.12017	1.12057	1.12008	1.12017	300	0	0
2022.03.01	04:10:00	1.12017	1.12020	1.11929	1.11963	588	0	0
2022.03.01	04:20:00	1.11964	1.11977	1.11952	1.11972	308	0	0
2022.03.01	04:30:00	1.11977	1.11982	1.11961	1.11966	199	0	0
2022.03.01	04:40:00	1.11966	1.11974	1.11956	1.11958	192	0	0
2022.03.01	04:50:00	1.11959	1.11991	1.11952	1.11964	429	0	0
2022.03.01	05:00:00	1.11964	1.12005	1.11964	1.12001	461	0	0
2022.03.01	05:10:00	1.12000	1.12001	1.11942	1.11985	344	0	0
2022.03.01	05:20:00	1.11986	1.12012	1.11976	1.11995	388	0	0
2022.03.01	05:30:00	1.11995	1.12005	1.11955	1.11967	365	0	0
2022.03.01	05:40:00	1.11967	1.11970	1.11941	1.11943	177	0	0
2022.03.01	05:50:00	1.11944	1.11948	1.11920	1.11920	195	0	0
2022.03.01	06:00:00	1.11920	1.11944	1.11907	1.11940	218	0	0
2022.03.01	06:10:00	1.11941	1.11964	1.11939	1.11961	181	0	0
2022.03.01	06:20:00	1.11961	1.11977	1.11957	1.11964	208	0	0
2022.03.01	06:30:00	1.11967	1.11974	1.11949	1.11965	186	0	0
2022.03.01	06:40:00	1.11965	1.11991	1.11955	1.11984	304	0	0
2022.03.01	06:50:00	1.11985	1.12000	1.11956	1.11963	272	0	0
2022.03.01	07:00:00	1.11963	1.12033	1.11957	1.12003	307	0	0
2022.03.01	07:10:00	1.12003	1.12003	1.11976	1.12000	312	0	0
2022.03.01	07:20:00	1.12000	1.12015	1.11993	1.12001	262	0	0
2022.03.01	07:30:00	1.12000	1.12012	1.11963	1.11963	229	0	0
2022.03.01	07:40:00	1.11963	1.11967	1.11938	1.11964	200	0	0
2022.03.01	07:50:00	1.11964	1.11996	1.11961	1.11961	230	0	0
2022.03.01	08:00:00	1.11961	1.11979	1.11953	1.11963	209	0	0
2022.03.01	08:10:00	1.11965	1.11973	1.11953	1.11963	259	0	0
2022.03.01	08:20:00	1.11962	1.12001	1.11945	1.11985	308	0	0
2022.03.01	08:30:00	1.11985	1.12011	1.11967	1.12000	350	0	0
2022.03.01	08:40:00	1.12000	1.12077	1.12000	1.12077	324	0	0
2022.03.01	08:50:00	1.12077	1.12077	1.12017	1.12060	449	0	0
2022.03.01	09:00:00	1.12062	1.12143	1.12052	1.12124	868	0	0
