<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.07.15	00:00:00	1.00154	1.00175	1.00127	1.00175	108	0	24
2022.07.15	00:10:00	1.00175	1.00183	1.00162	1.00165	64	0	8
2022.07.15	00:20:00	1.00165	1.00181	1.00161	1.00180	70	0	7
2022.07.15	00:30:00	1.00179	1.00189	1.00163	1.00186	653	0	7
2022.07.15	00:40:00	1.00184	1.00190	1.00170	1.00187	440	0	7
2022.07.15	00:50:00	1.00189	1.00191	1.00170	1.00186	111	0	7
2022.07.15	01:00:00	1.00186	1.00215	1.00186	1.00199	272	0	2
2022.07.15	01:10:00	1.00200	1.00236	1.00200	1.00225	324	0	2
2022.07.15	01:20:00	1.00225	1.00225	1.00185	1.00199	304	0	2
2022.07.15	01:30:00	1.00200	1.00208	1.00194	1.00206	270	0	2
2022.07.15	01:40:00	1.00206	1.00207	1.00187	1.00196	172	0	2
2022.07.15	01:50:00	1.00196	1.00197	1.00166	1.00182	211	0	2
2022.07.15	02:00:00	1.00187	1.00193	1.00167	1.00193	375	0	1
2022.07.15	02:10:00	1.00193	1.00193	1.00151	1.00159	345	0	1
2022.07.15	02:20:00	1.00159	1.00192	1.00151	1.00183	175	0	1
2022.07.15	02:30:00	1.00183	1.00221	1.00183	1.00209	282	0	1
2022.07.15	02:40:00	1.00207	1.00240	1.00199	1.00229	189	0	1
2022.07.15	02:50:00	1.00233	1.00264	1.00228	1.00264	263	0	1
2022.07.15	03:00:00	1.00265	1.00278	1.00201	1.00230	835	0	0
2022.07.15	03:10:00	1.00230	1.00253	1.00186	1.00189	624	0	0
2022.07.15	03:20:00	1.00188	1.00189	1.00113	1.00154	700	0	0
2022.07.15	03:30:00	1.00155	1.00176	1.00145	1.00150	962	0	1
2022.07.15	03:40:00	1.00150	1.00220	1.00136	1.00209	426	0	0
2022.07.15	03:50:00	1.00210	1.00220	1.00159	1.00193	792	0	0
2022.07.15	04:00:00	1.00193	1.00246	1.00185	1.00235	689	0	0
2022.07.15	04:10:00	1.00231	1.00257	1.00200	1.00200	511	0	0
2022.07.15	04:20:00	1.00199	1.00233	1.00176	1.00214	672	0	0
2022.07.15	04:30:00	1.00213	1.00309	1.00196	1.00290	908	0	0
2022.07.15	04:40:00	1.00291	1.00327	1.00263	1.00301	845	0	0
2022.07.15	04:50:00	1.00301	1.00337	1.00298	1.00334	552	0	1
2022.07.15	05:00:00	1.00333	1.00371	1.00298	1.00356	639	0	0
2022.07.15	05:10:00	1.00356	1.00391	1.00345	1.00374	424	0	0
2022.07.15	05:20:00	1.00374	1.00391	1.00345	1.00382	484	0	0
2022.07.15	05:30:00	1.00380	1.00390	1.00321	1.00340	655	0	0
2022.07.15	05:40:00	1.00340	1.00355	1.00320	1.00330	466	0	0
2022.07.15	05:50:00	1.00330	1.00409	1.00321	1.00370	844	0	1
2022.07.15	06:00:00	1.00370	1.00379	1.00345	1.00352	465	0	1
2022.07.15	06:10:00	1.00353	1.00353	1.00303	1.00316	347	0	0
2022.07.15	06:20:00	1.00315	1.00318	1.00268	1.00276	534	0	0
2022.07.15	06:30:00	1.00277	1.00285	1.00253	1.00274	304	0	0
2022.07.15	06:40:00	1.00274	1.00293	1.00265	1.00284	304	0	0
2022.07.15	06:50:00	1.00285	1.00288	1.00250	1.00255	217	0	1
2022.07.15	07:00:00	1.00255	1.00260	1.00227	1.00232	287	0	0
2022.07.15	07:10:00	1.00232	1.00274	1.00227	1.00273	252	0	0
2022.07.15	07:20:00	1.00272	1.00280	1.00258	1.00272	343	0	0
2022.07.15	07:30:00	1.00272	1.00304	1.00264	1.00293	287	0	0
2022.07.15	07:40:00	1.00293	1.00323	1.00287	1.00313	293	0	0
2022.07.15	07:50:00	1.00312	1.00337	1.00283	1.00304	354	0	0
2022.07.15	08:00:00	1.00304	1.00313	1.00250	1.00277	397	0	0
2022.07.15	08:10:00	1.00277	1.00304	1.00253	1.00253	341	0	0
2022.07.15	08:20:00	1.00252	1.00253	1.00219	1.00226	360	0	0
2022.07.15	08:30:00	1.00225	1.00265	1.00225	1.00247	572	0	0
2022.07.15	08:40:00	1.00246	1.00299	1.00229	1.00288	496	0	0
2022.07.15	08:50:00	1.00288	1.00305	1.00182	1.00211	787	0	0
2022.07.15	09:00:00	1.00213	1.00249	1.00110	1.00163	1375	0	0
2022.07.15	09:10:00	1.00161	1.00231	1.00122	1.00231	1225	0	0
2022.07.15	09:20:00	1.00230	1.00247	1.00183	1.00194	1053	0	0
2022.07.15	09:30:00	1.00192	1.00201	1.00111	1.00181	1353	0	0
2022.07.15	09:40:00	1.00184	1.00213	1.00084	1.00160	1456	0	0
2022.07.15	09:50:00	1.00160	1.00222	1.00143	1.00163	1433	0	0
2022.07.15	10:00:00	1.00163	1.00220	1.00097	1.00160	1869	0	0
2022.07.15	10:10:00	1.00158	1.00169	1.00070	1.00158	1715	0	0
2022.07.15	10:20:00	1.00158	1.00269	1.00138	1.00265	1488	0	0
2022.07.15	10:30:00	1.00267	1.00334	1.00263	1.00319	1687	0	0
2022.07.15	10:40:00	1.00322	1.00358	1.00275	1.00343	1160	0	0
2022.07.15	10:50:00	1.00343	1.00344	1.00213	1.00291	1083	0	0
2022.07.15	11:00:00	1.00284	1.00325	1.00260	1.00281	1104	0	0
2022.07.15	11:10:00	1.00281	1.00303	1.00231	1.00257	1030	0	0
2022.07.15	11:20:00	1.00258	1.00290	1.00242	1.00260	795	0	0
2022.07.15	11:30:00	1.00258	1.00309	1.00177	1.00184	825	0	0
2022.07.15	11:40:00	1.00183	1.00279	1.00172	1.00277	822	0	0
2022.07.15	11:50:00	1.00277	1.00331	1.00217	1.00311	1073	0	0
2022.07.15	12:00:00	1.00310	1.00380	1.00285	1.00354	1039	0	0
2022.07.15	12:10:00	1.00354	1.00445	1.00354	1.00403	945	0	0
2022.07.15	12:20:00	1.00403	1.00411	1.00365	1.00388	699	0	0
2022.07.15	12:30:00	1.00387	1.00473	1.00373	1.00423	898	0	0
2022.07.15	12:40:00	1.00421	1.00468	1.00408	1.00440	1052	0	0
2022.07.15	12:50:00	1.00441	1.00485	1.00409	1.00438	1075	0	0
2022.07.15	13:00:00	1.00439	1.00439	1.00365	1.00387	847	0	0
2022.07.15	13:10:00	1.00388	1.00427	1.00378	1.00391	750	0	0
2022.07.15	13:20:00	1.00391	1.00421	1.00371	1.00393	762	0	0
2022.07.15	13:30:00	1.00393	1.00449	1.00393	1.00440	717	0	0
2022.07.15	13:40:00	1.00441	1.00573	1.00430	1.00562	873	0	0
2022.07.15	13:50:00	1.00562	1.00595	1.00538	1.00588	937	0	0
2022.07.15	14:00:00	1.00588	1.00595	1.00514	1.00520	988	0	0
2022.07.15	14:10:00	1.00522	1.00556	1.00488	1.00539	888	0	0
2022.07.15	14:20:00	1.00538	1.00548	1.00495	1.00530	772	0	0
2022.07.15	14:30:00	1.00529	1.00661	1.00528	1.00614	1107	0	0
2022.07.15	14:40:00	1.00614	1.00643	1.00577	1.00637	757	0	0
2022.07.15	14:50:00	1.00638	1.00648	1.00525	1.00542	970	0	0
2022.07.15	15:00:00	1.00542	1.00656	1.00531	1.00626	1176	0	0
2022.07.15	15:10:00	1.00626	1.00692	1.00591	1.00679	976	0	0
2022.07.15	15:20:00	1.00680	1.00712	1.00639	1.00667	1161	0	0
2022.07.15	15:30:00	1.00667	1.00752	1.00436	1.00704	3563	0	0
2022.07.15	15:40:00	1.00703	1.00737	1.00625	1.00695	2541	0	0
2022.07.15	15:50:00	1.00695	1.00768	1.00656	1.00724	2282	0	0
2022.07.15	16:00:00	1.00727	1.00846	1.00697	1.00830	2059	0	0
2022.07.15	16:10:00	1.00829	1.00834	1.00696	1.00710	1959	0	0
2022.07.15	16:20:00	1.00711	1.00730	1.00577	1.00611	1865	0	0
2022.07.15	16:30:00	1.00612	1.00665	1.00550	1.00575	2324	0	0
2022.07.15	16:40:00	1.00573	1.00582	1.00457	1.00483	2147	0	0
2022.07.15	16:50:00	1.00483	1.00502	1.00410	1.00448	1533	0	0
2022.07.15	17:00:00	1.00499	1.00766	1.00499	1.00638	3156	0	0
2022.07.15	17:10:00	1.00635	1.00726	1.00546	1.00597	2120	0	0
2022.07.15	17:20:00	1.00596	1.00783	1.00532	1.00761	1995	0	0
2022.07.15	17:30:00	1.00763	1.00880	1.00688	1.00778	2165	0	0
2022.07.15	17:40:00	1.00782	1.00814	1.00652	1.00679	1884	0	0
2022.07.15	17:50:00	1.00676	1.00838	1.00643	1.00801	2190	0	0
2022.07.15	18:00:00	1.00805	1.00901	1.00773	1.00899	1572	0	0
2022.07.15	18:10:00	1.00897	1.00902	1.00817	1.00897	1503	0	0
2022.07.15	18:20:00	1.00897	1.00981	1.00864	1.00964	1281	0	0
2022.07.15	18:30:00	1.00964	1.00966	1.00889	1.00923	1201	0	0
2022.07.15	18:40:00	1.00920	1.00969	1.00874	1.00945	1011	0	0
2022.07.15	18:50:00	1.00948	1.00961	1.00895	1.00901	975	0	0
2022.07.15	19:00:00	1.00901	1.00903	1.00845	1.00858	1029	0	0
2022.07.15	19:10:00	1.00856	1.00869	1.00764	1.00778	754	0	0
2022.07.15	19:20:00	1.00779	1.00816	1.00748	1.00748	618	0	0
2022.07.15	19:30:00	1.00748	1.00784	1.00718	1.00772	622	0	0
2022.07.15	19:40:00	1.00771	1.00819	1.00750	1.00807	531	0	0
2022.07.15	19:50:00	1.00807	1.00812	1.00761	1.00812	679	0	0
2022.07.15	20:00:00	1.00814	1.00908	1.00809	1.00883	791	0	0
2022.07.15	20:10:00	1.00883	1.00940	1.00874	1.00899	619	0	0
2022.07.15	20:20:00	1.00899	1.00899	1.00821	1.00835	464	0	0
2022.07.15	20:30:00	1.00835	1.00843	1.00803	1.00838	594	0	0
2022.07.15	20:40:00	1.00841	1.00852	1.00770	1.00775	560	0	0
2022.07.15	20:50:00	1.00773	1.00783	1.00747	1.00767	571	0	0
2022.07.15	21:00:00	1.00768	1.00786	1.00751	1.00766	468	0	0
2022.07.15	21:10:00	1.00767	1.00775	1.00725	1.00772	498	0	0
2022.07.15	21:20:00	1.00772	1.00778	1.00737	1.00774	544	0	0
2022.07.15	21:30:00	1.00777	1.00817	1.00742	1.00807	454	0	0
2022.07.15	21:40:00	1.00808	1.00826	1.00802	1.00804	320	0	0
2022.07.15	21:50:00	1.00803	1.00821	1.00795	1.00802	446	0	0
2022.07.15	22:00:00	1.00805	1.00815	1.00741	1.00753	512	0	0
2022.07.15	22:10:00	1.00750	1.00768	1.00743	1.00758	382	0	0
2022.07.15	22:20:00	1.00758	1.00799	1.00758	1.00766	315	0	0
2022.07.15	22:30:00	1.00768	1.00771	1.00731	1.00739	430	0	0
2022.07.15	22:40:00	1.00739	1.00756	1.00729	1.00737	460	0	0
2022.07.15	22:50:00	1.00743	1.00836	1.00732	1.00826	824	0	0
2022.07.15	23:00:00	1.00827	1.00843	1.00791	1.00794	505	0	0
2022.07.15	23:10:00	1.00795	1.00845	1.00792	1.00837	247	0	2
2022.07.15	23:20:00	1.00838	1.00857	1.00823	1.00854	206	0	1
2022.07.15	23:30:00	1.00856	1.00874	1.00844	1.00874	126	0	1
2022.07.15	23:40:00	1.00874	1.00880	1.00858	1.00866	179	0	2
2022.07.15	23:50:00	1.00865	1.00867	1.00845	1.00854	80	0	8
2022.07.18	00:00:00	1.00816	1.00846	1.00816	1.00846	22	0	30
2022.07.18	00:10:00	1.00846	1.00848	1.00829	1.00833	52	0	19
2022.07.18	00:20:00	1.00847	1.00847	1.00821	1.00821	35	0	24
2022.07.18	00:30:00	1.00828	1.00837	1.00821	1.00831	41	0	24
2022.07.18	00:40:00	1.00827	1.00838	1.00734	1.00827	43	0	25
2022.07.18	00:50:00	1.00827	1.00841	1.00753	1.00824	37	0	14
2022.07.18	01:00:00	1.00817	1.00886	1.00791	1.00816	590	0	11
2022.07.18	01:10:00	1.00816	1.00828	1.00791	1.00792	168	0	11
2022.07.18	01:20:00	1.00789	1.00806	1.00782	1.00791	230	0	8
2022.07.18	01:30:00	1.00791	1.00813	1.00791	1.00799	111	0	7
2022.07.18	01:40:00	1.00800	1.00849	1.00785	1.00840	277	0	7
2022.07.18	01:50:00	1.00840	1.00851	1.00826	1.00844	219	0	2
2022.07.18	02:00:00	1.00843	1.00856	1.00800	1.00855	566	0	1
2022.07.18	02:10:00	1.00855	1.00929	1.00852	1.00924	512	0	1
2022.07.18	02:20:00	1.00924	1.00930	1.00906	1.00924	363	0	1
2022.07.18	02:30:00	1.00923	1.00968	1.00921	1.00963	423	0	1
2022.07.18	02:40:00	1.00964	1.00964	1.00928	1.00943	368	0	1
2022.07.18	02:50:00	1.00943	1.00976	1.00913	1.00973	507	0	1
2022.07.18	03:00:00	1.00976	1.00986	1.00942	1.00947	457	0	1
2022.07.18	03:10:00	1.00946	1.00955	1.00905	1.00940	479	0	0
2022.07.18	03:20:00	1.00940	1.00958	1.00930	1.00943	454	0	0
2022.07.18	03:30:00	1.00942	1.00961	1.00887	1.00897	469	0	0
2022.07.18	03:40:00	1.00897	1.00941	1.00876	1.00886	407	0	1
2022.07.18	03:50:00	1.00887	1.00934	1.00864	1.00916	509	0	0
2022.07.18	04:00:00	1.00917	1.00987	1.00916	1.00970	798	0	1
2022.07.18	04:10:00	1.00969	1.01035	1.00954	1.01026	597	0	0
2022.07.18	04:20:00	1.01027	1.01108	1.01019	1.01089	634	0	0
2022.07.18	04:30:00	1.01090	1.01091	1.01044	1.01050	591	0	0
2022.07.18	04:40:00	1.01050	1.01102	1.01042	1.01102	527	0	0
2022.07.18	04:50:00	1.01103	1.01116	1.01066	1.01089	511	0	0
2022.07.18	05:00:00	1.01089	1.01144	1.01079	1.01106	522	0	0
2022.07.18	05:10:00	1.01106	1.01108	1.01065	1.01092	365	0	0
2022.07.18	05:20:00	1.01093	1.01100	1.01064	1.01066	421	0	1
2022.07.18	05:30:00	1.01066	1.01114	1.01064	1.01098	541	0	0
2022.07.18	05:40:00	1.01098	1.01098	1.01052	1.01068	446	0	1
2022.07.18	05:50:00	1.01068	1.01069	1.01008	1.01014	428	0	1
2022.07.18	06:00:00	1.01014	1.01050	1.01013	1.01045	337	0	0
2022.07.18	06:10:00	1.01045	1.01093	1.01043	1.01093	582	0	0
2022.07.18	06:20:00	1.01093	1.01103	1.01062	1.01076	540	0	1
2022.07.18	06:30:00	1.01075	1.01076	1.01027	1.01046	347	0	1
2022.07.18	06:40:00	1.01046	1.01060	1.01017	1.01017	349	0	0
2022.07.18	06:50:00	1.01018	1.01056	1.01017	1.01044	361	0	1
2022.07.18	07:00:00	1.01042	1.01050	1.01024	1.01025	402	0	0
2022.07.18	07:10:00	1.01025	1.01025	1.00937	1.00945	476	0	0
2022.07.18	07:20:00	1.00945	1.00957	1.00904	1.00913	413	0	0
2022.07.18	07:30:00	1.00913	1.00916	1.00877	1.00899	252	0	0
2022.07.18	07:40:00	1.00899	1.00905	1.00868	1.00880	303	0	0
2022.07.18	07:50:00	1.00876	1.00917	1.00875	1.00916	293	0	0
2022.07.18	08:00:00	1.00917	1.00937	1.00889	1.00901	352	0	0
2022.07.18	08:10:00	1.00901	1.00939	1.00889	1.00922	358	0	0
2022.07.18	08:20:00	1.00922	1.00954	1.00913	1.00952	365	0	0
2022.07.18	08:30:00	1.00952	1.00970	1.00940	1.00969	432	0	0
2022.07.18	08:40:00	1.00969	1.01057	1.00969	1.01035	606	0	0
2022.07.18	08:50:00	1.01034	1.01046	1.00879	1.00882	716	0	0
2022.07.18	09:00:00	1.00881	1.00939	1.00825	1.00854	1380	0	0
2022.07.18	09:10:00	1.00854	1.00872	1.00812	1.00835	1148	0	0
2022.07.18	09:20:00	1.00836	1.00903	1.00836	1.00892	818	0	0
2022.07.18	09:30:00	1.00890	1.00942	1.00866	1.00917	992	0	0
2022.07.18	09:40:00	1.00917	1.01085	1.00900	1.01083	1385	0	0
2022.07.18	09:50:00	1.01079	1.01118	1.01062	1.01109	1255	0	0
2022.07.18	10:00:00	1.01107	1.01385	1.01030	1.01339	2336	0	0
2022.07.18	10:10:00	1.01339	1.01434	1.01331	1.01398	2111	0	0
2022.07.18	10:20:00	1.01397	1.01490	1.01364	1.01418	1942	0	0
2022.07.18	10:30:00	1.01417	1.01469	1.01383	1.01426	1632	0	0
2022.07.18	10:40:00	1.01425	1.01461	1.01373	1.01441	1599	0	0
2022.07.18	10:50:00	1.01437	1.01485	1.01420	1.01459	1095	0	0
2022.07.18	11:00:00	1.01458	1.01491	1.01421	1.01451	1324	0	0
2022.07.18	11:10:00	1.01452	1.01491	1.01426	1.01429	906	0	0
2022.07.18	11:20:00	1.01429	1.01441	1.01339	1.01341	1080	0	0
2022.07.18	11:30:00	1.01341	1.01353	1.01223	1.01261	1163	0	0
2022.07.18	11:40:00	1.01261	1.01276	1.01224	1.01235	953	0	0
